=== Regression Results ===
R² (Train): 0.4292
R² (Test): -0.0170
RMSE (Train): 13.9432
RMSE (Test): 37.8120

=== Feature Coefficients ===
                             Feature  Coefficient  Abs_Coefficient
                 transit_stop_200059    -0.041976         0.041976
                route_variant_m61-43    -0.041873         0.041873
                transit_stop_2031170     0.041869         0.041869
                 transit_stop_202617     0.041869         0.041869
                 transit_stop_212678    -0.041849         0.041849
                transit_stop_2036121    -0.041810         0.041810
                          route_3011     0.041783         0.041783
                route_variant_3011-2     0.041783         0.041783
                 transit_stop_215353     0.041783         0.041783
                 transit_stop_202027     0.041752         0.041752
                 transit_stop_213528     0.041740         0.041740
                transit_stop_2153258     0.041588         0.041588
                transit_stop_2112207     0.041579         0.041579
                          route_9051     0.041579         0.041579
                route_variant_9051-1     0.041579         0.041579
                route_variant_619-98    -0.041564         0.041564
                route_variant_490-44     0.041560         0.041560
                   suburb_crows nest     0.041529         0.041529
                 transit_stop_204711     0.041484         0.041484
                 transit_stop_215424    -0.041454         0.041454
                 transit_stop_203247    -0.041368         0.041368
                transit_stop_2170235    -0.041359         0.041359
                transit_stop_2113103     0.041298         0.041298
                           route_697    -0.041274         0.041274
                route_variant_286-19    -0.041206         0.041206
                transit_stop_2121213    -0.041195         0.041195
                 route_variant_164-4    -0.041172         0.041172
                transit_stop_2770529    -0.041150         0.041150
                route_variant_155-30    -0.041088         0.041088
                 transit_stop_201838     0.041082         0.041082
                route_variant_461-64     0.041080         0.041080
                 transit_stop_203588     0.041065         0.041065
                 transit_stop_203318    -0.041042         0.041042
                 route_variant_280-7     0.041003         0.041003
                           route_x04     0.040957         0.040957
                 route_variant_x04-4     0.040957         0.040957
            transit_stop_sequence_59     0.040938         0.040938
                 route_variant_946-9     0.040825         0.040825
                route_variant_611-94    -0.040810         0.040810
                transit_stop_2000220    -0.040766         0.040766
                    suburb_st peters     0.040758         0.040758
                          route_692n    -0.040671         0.040671
                route_variant_692n-8    -0.040671         0.040671
                 transit_stop_201746    -0.040629         0.040629
                           route_t61    -0.040592         0.040592
                route_variant_184-14     0.040568         0.040568
                 transit_stop_209915     0.040568         0.040568
                transit_stop_2088190    -0.040556         0.040556
                 transit_stop_215257     0.040527         0.040527
                 transit_stop_256027    -0.040523         0.040523
            transit_stop_sequence_42    -0.040415         0.040415
                 transit_stop_214546     0.040330         0.040330
                 transit_stop_204689     0.040310         0.040310
               route_variant_651-365    -0.040292         0.040292
